"linear ft. of contact prints, collected information",1
"linear ft., digital files",1
linear inches,1
linear of non-microfilmed materials,1
"linen, sepia print",1
liner feet,1
liner ft,1
loose,1
loose item,2
map,3
map : ms,14
"map : ms., col",2
map ms,1
map on [x] sheets : col,1
map. : ms,1
map: ms,3
maps,16
maps : col,2
maps: ms,1
"marked ""no good",1
"marked ""no good""",1
"marked ""void""",2
mb,1
mechanical drawings,1
"mechanical, electrical",4
"mechanical, electrical drawings",8
medium,1
medium only,38
medium size only,1
"medium, large only",9
meet action,9
"meet action, posed",5
microcassette,11
microcassette tapes,2
microcassettes,15
microfilm,1
microfilm reel,13
microfilm reel (positive,1
microfilm reels,21
microfilm reels (negative,2
microfilm reels (positive,1
microfilm reels : positive,1
microfilm roll,11
microfilm roll (partial,1
"microfilm roll, positive",1
microfilm rolls,37
microfilm s,1
min,112
"min, VHS videotape",1
min. [x] sec,1
mini DV tapes,1
mini DVs,1
mini cassettes,1
mini digital cassette,1
minute cassette,29
minute cassettes,15
minutes,10
"minutes, color",1
mm,4
mm strip of [x] negatives,1
mm. color sound reel,1
mm. negatives,2
model,1
mostly [x]x[x],5
mostly [x]x[x] & [x]x[x],1
"mostly [x]x[x] & [x]x[x], collage",1
motion picture film reels,1
"motion picture film, DVD",1
motion picture reel,3
motion picture reels,7
motion pictures,1
mounted print,12
mounted print folders,1
mounted prints,9
mounted renderings,1
mp[x] files,1
mp[x] files compressed,1
multiple folders,30
na[x]-na[x],1
negative,46
negative copies,1
negative folders,2
"negative) located, microfilm cabinet",4
negatives,2078
negatives folders,1
negatives of [x] schools,1
negatives plus Ivory notes,1
negatives with contact prints,1
"negatives, different houses",2
"negatives, meet action",1
negs,256
negs/cs,1
no [x],2
no. [x]-[x],1
"not identified, but is most probably by Gillies",1
"not identified, but most probably by Gillies",1
"not identified, but most probably of Cadillac Service Building",1
notebook,38
notebook binders,1
notebook folders,1
"notebook, folder",1
notebooks,35
notebooks folders,2
"notebooks now, folders",1
numbers:,1
of [x] folders,17
of a [x] sheet map ?,1
of wife,1
olders,1
on [x] microfilm rolls,2
on [x] rolls of microfilm,1
on sheet [x] x [x] cm,1
only [x] dated,1
only [x] revised,3
open reel cassettes,1
open reel tape,1
open reel videotapes,1
original files,2
original--damaged,1
other images on [x] DVD-R,1
outsize,5
outsize artifact,1
outsize box,5
outsize boxes,1
"outsize boxes, oil paintings",1
outsize drawers,2
outsize film,1
outsize films,3
outsize folder,43
"outsize folder, shelved",1
outsize folders,15
outsize item,1
outsize items,1
outsize located,4
outsize manuscript volume,1
outsize notebook,3
outsize photographs,2
outsize scrapbook,3
outsize v,2
outsize volume,7
"outsize volume, digital files",1
"outsize volume, folder",1
"outsize volume, on outsize folder",1
outsize volumes,16
outsized boxes,2
outsized folder,5
outsized folders,2
outsized scrapbooks,1
outsized volumes,2
over [x],1
oversize album,1
oversize binders,1
oversize boards,1
oversize box,8
oversize boxes,2
oversize bundle,3
oversize bundles,1
oversize drawer,1
oversize drawings,1
oversize film,2
oversize films,2
oversize folder,327
oversize folder (Ac,1
oversize folder (UAl,1
oversize folder (UAm,4
oversize folder (UBPl,1
oversize folder Ac,3
oversize folder of architectural drawings,1
oversize folder on [x] microfilm rolls,1
oversize folders,59
oversize item,3
oversize items,5
oversize items (AC,1
oversize motion picture film,1
oversize motion picture reel,1
oversize motion picture reels,1
oversize motion pictures,1
oversize photograph,1
oversize photographs,1
oversize poster,1
oversize poster boards,1
oversize posters,2
oversize registration volumes,1
oversize scrapbooks,3
oversize sound discs,1
oversize tube,1
oversize tubes,1
oversize v,2
oversize videotapes,1
oversize vol,1
oversize volume,94
oversize volumes,186
oversize volumes (not microfilmed,1
"oversize volumes, digital files",1
oversized box,3
oversized boxes,3
oversized folder,11
oversized folder (UAm,1
oversized folder (UCCm,1
oversized folders,8
oversized framed items,1
oversized item,1
oversized items,1
"oversized items, electronic files",1
oversized motion picture,1
oversized volume,1
oversized volumes,19
p,2
packet,3
packets,11
packets of [x]x[x] negs,1
pads,2
page,1
pages,51
pages of contact prints,1
pages of negatives,1
"pages, unbound copy",1
"pages, with Morgan's marginal notes",1
paintings,1
pamphlet,1
pamphlet boxes,2
pamphlets,2
"pamphlets, English",1
panels,1
papers,2
parts,7
"pdf, ind",2
"pencil drawings on vellum, sepia",1
pencil on heavy paper,1
pencil on notebook paper,1
pencil on paper,1
pencil on tracing paper,3
pencil on vellum,1
"pencil, colored pencil on tracing paper",2
"pencil, ink drawings on vellum",1
"pencil, ink-on-vellum",1
pencil-on-vellum,2
perspective,8
perspective drawing,1
perspective drawings,1
"perspective, elevation",1
perspectives,5
"perspectives, architectural",2
"perspectives, architectural drawings",2
"perspectives, sketches",2
"perspectives, surveys",1
pgs,2
phonograph disc,1
phonograph discs,2
phonograph disk,1
phonograph record,2
phonograph record albums,1
phonograph record disc,1
phonograph record discs,1
phonograph records,4
phonorecord,2
phonorecords,1
photo,2
photo albums,1
photo albums from Phi Delta Theta fraternity's classes of [x],1
photo books,1
photo slide trays,1
"photo, black and white",1
photocopies,2
photocopy--complete,1
photograph,1
photograph album,1
photograph portfolios,1
photographic negatives,1
photographs,993
photographs & [x] pen & ink drawing,1
photographs folders,1
photographs of portrait,1
"photographs, includes photos with wife",1
"photographs, including other people",1
"photographs, including photos with Leslie Caron",1
"photographs, including winter scenes",1
"photographs, outsize located",1
photomechanical reproductions,1
photonegatives,62
photoprints,1
photoprints (in oversize folder,1
photos,228
photos -- [x] attached,1
photos of block form various perspectives,1
"photos, color",1
photostats,1
pictures,1
piece,1
pieces,60
plaques,1
plates,114
plumbing drawings,4
"plumbing, landscape drawings",1
plus negs,1
pocket folder,1
pocket folders,3
portfolio,8
portfolio file,1
portfolios,6
portfolios of index cards,1
"portrait book, black and white",1
portraits,1
posed,8
postcard boxes,1
postcards,1
posters,4
pp,55
presentation boards,2
presentation boards folders,2
primarily [x]-[x],1
prings,1
print,94
print (cut up,1
print of site plan,1
"print, for contact sheet",1
"print, meet action",1
printed version,1
prints,468
prints by unknown photographers,1
"prints of chair, settee perspectives",1
"prints of drawings, renderings",1
prints with interleaving,1
"prints, duplicates",1
"prints, head shots",2
"prints, mounted",1
profile : ms,1
program,1
programs/reel,1
proofs,1
published volumes,1
"q cd, cs",1
quark files,1
record only,1
recording wire,2
records,14
red ink on tracing paper,1
reel,56
reel [x],1
reel [x] only,1
reel [x]mm film,1
reel microfilm,4
reel microfilm[x],1
reel of,1
reel of Microfilm,1
reel of [x] mm film,2
reel of [x] retained,3
reel of microfilm,2
"reel of microfilm, positive",4
reel positive,1
reel retained,1
"reel, partial reel only",1
reel-to-reel audio recordings,1
reel-to-reel audio tapes [x] [x]/[x] ips,1
reel-to-reel tape,6
reel-to-reel tapes,10
reels,197
reels [x]-[x],1
reels microfilm,2
reels of [x] mm film,3
reels of [x] retained,3
reels of microfilm,11
reels of microfilm (positive,1
"reels of microfilm, positive",1
reels retained,5
reels wound on [x] large reel,1
"reels, black and white",1
"reels, color",5
"reels, master negative only",1
"reels, various times",1
related material,1
renderings,2
renderings on [x] illustration boards,1
reports,6
retained,1
ring binder,4
roll micrifilm,1
roll microfilm,2
"roll of architectural drawings, blueprints",1
"roll of microfilm, Micro AA",1
rolled photographs,1
rolled set of blueprints,1
rolls,9
rolls microfilm,1
rolls of microfilm,3
rolls of microfilm: [x] theses,1
rolls unmounted color slide film,1
rpm,1
running time,1
s[x] folders,1
scattered,2
scattered issues,7
schematic design site plan,1
scrapbook,3
scrapbooks,6
sec,1
second PSA,1
seconds,10
section drawings,2
"see ""The Boy Who Played with Dolls""",1
see also Buildings / Power Center,1
see also [x] oversize color print,1
see also [x] oversize contact sheets,1
see also [x] oversize print,2
see na [x],2
see na [x]-[x],2
sepia print,1
set of [x] records,1
sets,1
sets of blueprints,1
sheet,96
sheet : blackline print on paper,2
sheet : blueprint on paper,1
sheet : pencil on tracing paper,3
sheet : pencil with pastel on tracing paper,3
sheet : sepia print on paper,1
sheet folded,1
sheets,176
sheets : blackline prints on paper,1
sheets : ink on tracing paper,1
sheets : pencil on paper,1
sheets : pencil on tracing paper,5
sheets : pencil with pastel on tracing paper,1
sheets : sepia prints on paper,1
sheets : sepia prints on paper mounted on clothe,1
sheets : various media,108
sheets : various media : [x] x [x] cm,3
sheets : various media [x] x [x] cm,1
sheets : various media. : [x] x [x] cm,1
sheets [x] x [x] cm,1
sheets of black and white contact prints,1
sheets of contact print,1
sheets of contact prints,2
"sheets, pencil on tracing paper",1
sides,6
sides [x],1
site plan,2
site plan drawing,2
"site plan, elevation",1
"site plan, utility",1
sixty-minute cassette tapes,1
sketches,4
sleeves,1
slide,13
slide box,3
slide boxes,4
slide cases,1
slide tray,1
slide trays,1
slidee,1
slides,82
"slides, box",1
"slides, color prints",1
"slides, folder",6
"slides, plastic bag",1
small albums,1
small bound volumes of varying size,1
small box,7
small boxes,3
small items,1
small ledgers,1
small negatives,1
small reels,1
small slide boxes,1
sound cassette,6
sound cassette tapes,1
sound cassettes,7
"sound cassettes, transcription",1
sound discs,3
