num_of_items,oclc identifier,source institution identifier,source,title,imprint,copyright statuses of publications in series,publication date range,enumerations,earliest publication,latest publication,all publication dates
1,12039104,003933427,mdp,"The housing status of industrial and university employees in Ann Arbor, Michigan;","School of business administration, University of Michigan, 1940.",pd,,,1940,1940,
1,1885509,001683017,mdp,"Revision of Sciurus variegatoides, a species of Central American squirrel,","University of Michigan, 1937.",pd,,,1937,1937,
1,31970318,003092623,mdp,A man who does not exist : the Irish peasant in the work of W.B. Yeats and J.M. Synge / Deborah Fleming.,"University of Michigan Press, c1995.",ic,,,1995,1995,
1,395237,004737722,miua,Studies on the environment and eutrophication of Lake Michigan / John C. Ayers and David C. Chandler.,"University of Michigan, 1967.",ic,,,1967,1967,
2,62089,001119967,mdp,9226 Kercheval : the storefront that did not burn.,"University of Michigan Press, [1970]",ic,,,1970,1970,
1,9041620,000762485,mdp,"100 years of music at Michigan, 1880-1980.","University of Michigan, c1979.",ic,,,1979,1979,
1,9830560,000200675,mdp,"Years of poverty, years of plenty : the changing economic fortunes of American workers and families / Greg J. Duncan with Richard D. Coe ... [et al.] ; and a foreword by Lee Rainwater.","Survey Research Center, Institute for Social Research, University of Michigan, 1984.",ic-world,,,1984,1984,
1,37024821,003254847,mdp,Poetic allusion and poetic embrace in Ovid and Virgil / R.A. Smith.,"University of Michigan Press, c1997.",ic,,,1997,1997,
1,2263779,000550492,mdp,Major subjects in the labor press.,"Bureau of Industrial Relations, Graduate School of Business Administration, The University of Michigan.",und,,1,,,
1,2773393,001619932,mdp,Theory of land locomotion : the mechanics of vehicle mobility / by M.G. Bekker.,"University of Michigan Press, [1962, 2d print.]",pd,,,1962,1962,
1,1390211,000020604,mdp,"Index to the Chan-kuo Ts'e, by Sharon J. Fidler with J.I. Crump.","Center for Chinese Studies, The University of Michigan, 1973,c1974.",ic,,,1974,1974,
1,23334174,000428465,mdp,"Introduction to digital computing and FORTRAN IV with MTS applications, by Brice Carnahan [and] James O. Wilkes.",University of Michigan] 1971.,ic-world,,,1971,1971,
1,23307266,001885567,mdp,Survey of the behavioral sciences : report of the faculty committee and report of the visiting committee.,"University of Michigan, 1954.",pd,,,1954,1954,
1,2944516,000438333,mdp,"Tables of Legendre polynomials, P[subscript eta] (cos [Theta]) For [eta]=0(1) 80 and [Theta]=0⁰(1⁰ 180⁰ [By] George C. Clark [and] Stuart W. Churchill.","Engineering Research Institute, University of Michigan, 1957.",ic,,,1957,1957,
1,27192118,002590425,mdp,Elite transformation in advanced industrial societies : an empirical assessment of the theory of technocracy / Robert D. Putnam.,"Institute of Public Policy Studies, University of Michigan, [1976]",ic,,,1976,1976,
4,40273538,003999551,mdp,"The body unveiled : boundaries of the figure in early modern Europe : the University of Michigan Museum of Art, September 13-October 26, 1997 / Stephen J. Campbell and Sandra Seekins ; with contributions by Douglas Hildebrecht and Erika Naginski.","University of Michigan, c1997]",ic,,,1997,1997,
1,34322832,.b35315350,uc1,The technological competitiveness of Japanese multinationals : the European dimension / Robert Pearce and Marina Papanastassiou,"University of Michigan Press, c1996",ic,,,1996,1996,
1,31721055,002904324,mdp,"Practice of tribology (friction, lubrication & wear).","The University of Michigan, College of Engineering, Continuing Engineering Education, 1993-",ic,,,1993,1993,
1,1499534,001490548,mdp,The biotic provinces of North America / by Lee R. Dice.,"University of Michigan Press, 1943.",ic and ic-world,,,1943,1943,
1,876729,004449194,mdp,"Searching for structure; an approach to analysis of substantial bodies of micro-data and documentation for a computer program [by] John A. Sonquist, Elizabeth Lauh Baker [and] James N. Morgan.","Survey Research Center, University of Michigan, [c1974]",ic-world,,,1974,1974,
1,20021955,001110671,mdp,Eastern Ojibwa.,"University of Michigan Press, [1957]",pd,,,1957,1957,
1,48263667,.b23203158,uc1,Treatment of error in second language student writing / Dana R. Ferris,"University of Michigan Press, c2002",ic,,,2002,2002,
1,47183529,004231717,mdp,"That was the wild East : film culture, unification, and the ""new"" Germany / Leonie Naughton.","University of Michigan Press, c2002.",ic,,,2002,2002,
1,57178318,004919442,mdp,John Sinclair and the culture of the sixties / edited by Karen L. Jania.,"Bentley Historical Library, University of Michigan, c2004.",ic,,,2004,2004,
1,48263668,004288916,mdp,Staging desire : queer readings of American theater history / edited by Kim Marra and Robert A. Schanke.,"University of Michigan Press, c2002.",ic,,,2002,2002,
10,local (non-oclc): .b164097466,.b164097466,uc1,University of Michigan bibliography,"Editorial Office, Division of Research Development and Administration, the University of Michigan",ic and pd,1907-1972,,1907,1972,
1,1052325,001162044,mdp,"Estes and Lauriat, a history, 1872-1898.",University of Michigan Press [1957],ic,,,1957,1957,
1,156918982,005559750,mdp,"Clinical neuro-oncology update, June 27-29, 1991 : postgraduate course, The University of Michigan Medical School, Dept. of Postgraduate Medicine and Health Professions Education, Ann Arbor, Michigan.","The University of Michigan Medical School, [1991]",ic,,,1991,1991,
1,38438404,003302565,mdp,"Staging resistance : essays on political theater / Jeanne Colleran and Jenny S. Spencer, editors.","University of Michigan Press, c1998.",ic,,,1998,1998,
1,70230600,005420637,mdp,The future of class in history : what's left of the social? / Geoff Eley & Keith Nield.,"The University of Michigan Press, c2007.",ic-world,,,2007,2007,
1,3209124,.b1616393x,uc1,"The University of Michigan notes for a program of study in remote sensing of earth resources : 14 February 1968-3 May 1968 : conducted at NASA, MSC, Houston, Texas : [prepared for the National Aeronautics and Space Administration under NASA contract no. 9-7676] / Willow Run Laboratories, Institute of Science and Technology, University of Michigan","University of Michigan, Willow Run Laboratories, 1968",ic,,,1968,1968,
1,6759573,004739062,miua,"Adult, juvenile and larval fish in the vicinity of the J.H. Campbell Power Plant, eastern Lake Michigan, 1978 / by D.J. Jude ... [et al.].","Great Lakes Research Division, University of Michigan, 1979.",ic,,,1979,1979,
1,23305064,000782446,mdp,"Human physiology : workbook / authors, Matthew Kluger, Louis D'Alecy.","School of Dentistry, University of Michigan, c1974.",ic,,,1974,1974,
1,8034876,000228210,mdp,An analysis of the Jack Faucett Associates automobile sector forecasting model / Barbara C. Richardson ... [et al.].,"Policy Analysis Division, Highway Safety Research Institute, University of Michigan : UMI Research Press, c1982.",ic,,,1982,1982,
1,511759,.b143948003,uc1,"Annexation, a solution to the metropolitan area problem / by Frank S. Sengstock.","University of Michigan Law School, 1960.",pd,,,1960,1960,
1,221884,.b121713465,uc1,"Dürer's cities : Nuremberg and Venice / essays and catalogue by Clifton C. Olds, Egon Verheyen [and] Warren Tresidder ; edited by Robert A. Yassin.","University of Michigan Museum of Art, c1971.",ic,,,1971,1971,
1,2502477,000746817,mdp,"Pharmacology 702, the University of Michigan School of Dentistry / authors, Henry H. Swain, Daniel J. Burns.","University of Michigan, School of Dentistry, 1976.",ic,,,1976,1976,
1,local (non-oclc): 005320200,005320200,mdp,"A managerial profile : the Chinese manager / Herbert W. Hildebrandt, Jinyun Liu.","Division of Research, School of Business Administration, University of Michigan, c1988.",ic,,,1988,1988,
15,243892447,000553640,mdp,Continuous casting of steel.,"University of Michigan, College of Engineering, 1978-",ic,1978-1993,,1978,1993,
1,4072951,000178776,mdp,La vegetación de Nueva Galicia / por Jerzy Rzedowski y Rogers McVaugh.,"University Herbarium, University of Michigan, 1966.",ic,,9,1966,1966,
2,34915666,4061439,wu,School of Social Work ... announcement.,"University of Michigan,",ic,1970-1975,,1970,1975,
1,3576632,000090555,mdp,"Diagnosis, intelligence and rehabilitation of chronic aphasics : [final report] / Aaron Smith, project director.","University of Michigan Department of Physical Medicine and Rehabilitation, Neuropsychologic Laboratory, 1972.",ic,,,1972,1972,
1,23812097,003558973,mdp,Mediation involving juveniles : ethical dilemmas and policy questions / by Robert A. Baruch Bush.,"Center for the Study of Youth Policy, School of Social Work, University of Michigan ; Shepard Broad Law Center, Nova University, 1991.",ic,,,1991,1991,
1,19126084,001289436,mdp,The Auto industry ahead : who's driving? / edited by Peter J. Arnesen.,"Center for Japanese Studies, the University of Michigan, 1989.",ic,,,1989,1989,
1,11801570,002587532,mdp,U. S.-Canadian trade and investment frictions : the U. S. view / by Robert M. Stern.,"Institute of Public Policy Studies University of Michigan, [l983] .",ic,,,1983,1983,
1,6781028,000695724,mdp,The Ait Ayash of the High Moulouya plain : rural social organization in Morocco / by John Chiapuris.,"Museum of Anthropology, University of Michigan, 1979.",ic,,,1979,1979,
1,33666597,003087146,mdp,Yeats's political identities : selected essays / edited by Jonathan Allison.,"University of Michigan Press, c1996.",ic,,,1996,1996,
1,41572794,005087401,mdp,"Speechcraft : workbook for international TA discourse / Laura D. Hahn, Wayne B. Dickerson.","University of Michigan Press, c1999.",ic,,,1999,1999,
1,7807718,000188612,mdp,Alternative strategies for Zimbabwe's growth / by Elliot Berg.,"Center for Research on Economic Development, University of Michigan, 1980.",ic,,,1980,1980,
1,35566366,003144295,mdp,"The social benefits of education / Jere R. Behrman and Nevzer Stacey, editors.","University of Michigan Press, c1997.",ic-world,,,1997,1997,
1,5839867,000094823,mdp,Introduction to magnetic tapes / [Kalle Nemvalts],"Computing Center, University of Michigan, 1979.",ic-world,,,1979,1979,
1,32013052,.b18641830,uc1,Sardonic smile : nonverbal behavior in Homeric epic / Donald Lateiner,"University of Michigan Press, c1995",ic,,,1995,1995,
2,27124832,002588652,mdp,Comprehensive review for oral and maxillofacial surgeons and residents.,"The University of Michigan, School of Dentistry, 198-?]",ic,,2-3,1989,1989,
1,43207097,004133463,mdp,First day to final grade : a graduate student's guide to teaching / Anne Curzan and Lisa Damour.,"University of Michigan Press, c2000.",ic,,,2000,2000,
3,31732263,002904403,mdp,Technical writing skills and computer-based writing tools.,"The University of Michigan, College of Engineering,",ic,1988-1990,,1988,1990,
1,21402560,001974209,mdp,A study of organization for the administration of vocational education in selected Michigan high schools; a summary report.,"University of Michigan, School of Education, 1963.",pd,,,1963,1963,
1,424489,002026884,mdp,Industrialized housing.,"Industrial Development Division, Institute of Science and Technology, University of Michigan, 1972.",ic,,,1972,1972,
1,11102258,000330266,miua,"Lake Huron crustacean and rotifer zooplankton, 1980 : factors affecting community structure with an evaluation of water quality status / Marlene S. Evans.","Great Lakes Research Division, Great Lakes and Marine Waters Center, The University of Michigan, [1983].",ic,,,1983,1983,
1,80285973,010491781,mdp,"Alumni survey cumulative report, 1952-1959.","University of Michigan Law School, 196-?]",pd,,,1969,1969,
1,4444620,001614521,mdp,"Noise-reduction manual. Prepared under the direction of Naval Research, Undersea Warfare Branch (Code 466)","Engineering Research Institute, University of Michigan, 1953.",pd,,,1953,1953,
1,86105329,005109110,mdp,A student's guide to microphysics / Donald E. DeGraaf.,"University of Michigan Flint College, 1969.",und,,,1969,1969,
1,23336723,812746,inu,State supervision of local borrowing.,"Bureau of government, University of Michigan, 1942.",ic,,,1942,1942,
1,17615402,005084766,mdp,The art of Vergil : image and symbol in the Aeneid / by Viktor Pöschl ; translated by Gerda Seligson.,"University of Michigan Press, 1970, c1962.",ic,,,1970,1970,
