"Abbitt, W. H"
"Oshima, Keiichi, 1921-"
"Osias, Camilo, 1889-"
"Osler, David W"
"Osler, William, Sir, 1849-1919"
"Osler, William, c Sir, 1849-1919"
"Osmeña, Sergio, 1878-1961"
"Osmeóna, Sergio, 1878-1961"
"Ostrand, Lillian G"
"Ostwald, Wilhelm, 1853-1932"
"Oswald, Marina, 1941-"
"Otis, Robert Burns, 1879-"
"Otis, William Augustus, 1855-1929"
"Ott, Harvey N"
"Outwater, Eva J. Shedd, 1856-1908"
"Overberger, C. G. (Charles Gilbert), 1920-"
"Overholt, Gerald"
"Ovshinsky, Stanford R"
"Owen, Gary M"
"Owen, George W"
"Owen, R. Dwight"
"Owens, Clara"
"Owens, Henry J"
"Owens, John P"
"Oxnam, G. Bromley (Garfield Bromley), 1891-1963"
"Pack, Charles Lathrop, 1857-1937"
"Pack, Philip Clarkson, 1896-1970"
"Pack, William Clarkson, 1896-1970"
"Pacosz, Christina V"
"Paddock, Alfred J"
"Pagano, Joseph F., 1909-"
"Page, Douglas H"
"Page, Herman, 1866-1942"
"Page, Kirby, 1890-1957"
"Page, Larry, 1973-"
"Page, Lawrence Sherman"
"Page, Walter Hines, 1855-1918"
"Pahl, Marvin F"
"Paine, Albert Bigelow, 1861-1937"
"Paley, William S. (William Samuel), 1901-"
"Palmer, Alice Freeman, 1855-1902"
"Palmer, Alonzo Benjamin, 1815-1887"
"Palmer, C. William, 1886-1965"
"Palmer, Calvin A"
"Palmer, Charles Henry, 1814-1887"
"Palmer, Charles Henry, d. 1911"
"Palmer, David Wheeler, 1807-1896"
"Palmer, Emmett Newton"
"Palmer, F. R., 1909-"
"Palmer, Fidelia"
"Palmer, Fidelia Randall"
"Palmer, Frank Herbert, 1853-1936"
"Palmer, Fred E"
"Palmer, George E"
"Palmer, George Herbert, 1842-1933"
"Palmer, John S"
"Palmer, Louisa Fidelia"
"Palmer, Milton R., 1878-"
"Palmer, Russell Denison, 1818-1895"
"Palmer, Thomas Witherell, 1830-1913"
"Palmer, William B"
"Palmquist, Rose, 1906-"
"Panchuk, John, 1904-1981"
"Paneth, Fritz, 1887-1958"
"Panzner, John, 1883-"
"Paquin, Samuel Savil, 1868-1943"
"Paras-Perez, Rodolfo"
"Parker, Blanche"
"Parker, Dewitt Henry, 1885-1949"
"Parker, Edward Foster"
"Parker, Francis LeJau, 1873-"
"Parker, Francis W. (Francis Wayland), 1837-1902"
"Parker, Frank, 1872-1947"
"Parker, G"
"Parker, Lucy"
"Parker, Sampson, b. 1818"
"Parkhurst, C. H. (Charles Henry), 1842-1933"
"Parkhurst, John G. (John Gibson), 1824-1906"
"Parkhurst, Stephen"
"Parkinson, William Charles, 1918-"
"Parks, Lyman S., 1917-"
"Parks, Rosa, 1913-"
"Parks, Rosa, 1913-2005"
"Parmelee, Maurice, 1882-1969"
"Parr, Clayton"
"Parran, Thomas"
"Parrish, Silver"
"Parry, J. H. (John Horace), 1914-1982"
"Parsons, Elsie Worthington Clews, 1875-1941"
"Parsons, Geoffrey, 1908-"
"Parsons, Harriet G"
"Parsons, Jeffrey R"
"Parsons, Mary Hrones"
"Parsons, Philo"
"Parsons, Talcott, 1902-"
"Parsons, William Edward, 1872-1939"
"Partridge, Bellamy, 1877-"
"Paschen, F"
"Pastore, John Orlando, 1907-"
"Patman, Wright, 1893-1976"
"Paton, Alan"
"Paton, William Andrew, 1889-"
"Patrick, Lawrence C"
"Patrick, William"
"Patt, Dorothy Wiard"
"Patten, Bradley M. (Bradley Merrill), 1889-"
"Patten, Simon Nelson, 1852-1922"
"Pattengill, Albert Henderson, 1842-1906"
"Pattengill, Craig L"
"Pattengill, Henry Romaine, 1852-1918"
"Pattengill, Victor Romaine, 1887-1943"
"Patterson, Frank Dean, d. 1920"
"Patterson, George W. (George Washington), 1864-1930"
"Patterson, George Washington, 1799-1879"
"Patterson, John C., 1838-1910"
"Patterson, L. Brooks"
"Patterson, Merib Rowley"
"Patterson, Minnie Ward"
"Patterson, Philo David, 1844-1903"
"Patterson, Robert Porter, 1891-1952"
"Patterson, Willis C"
"Patton, Carl S. (Carl Safford), 1866-1939"
"Patton, George S. (George Smith), 1885-1945"
"Patton, John, 1850-1907"
"Patton, Robert H. (Robert Howard), 1860-1939"
"Paul, Alice, 1885-1977"
"Paul, Ara G. (Ara Garo), 1929-"
"Paul, Ray"
"Paul, Ron, 1935-"
"Paulding, James K., 1779-1860"
"Pauli, Wolfgang, 1900-1958"
"Pauling, Linus, 1901-"
"Paustian, Bonita"
"Pavey, Ernest W"
"Pavlov, Ivan Petrovich, 1849-1936"
"Paxson, Frederic L. (Frederic Logan), 1877-1948"
"Payne, Elizabeth Clark"
"Payne, Enoch George, 1877-"
"Payne, William Harold, 1836-1907"
"Payne, William, 1905-"
"Peabody, Charles"
"Peabody, Endicott, 1920-"
"Peabody, Francis Greenwood, 1847-1936"
"Peabody, Frederick William, 1862-"
"Peabody, George Foster, 1852-1938"
"Peabody, Thomas A"
"Peale, Norman Vincent, 1898-"
"Pealer, Russell R"
"Pearce, Myrtis Raab"
"Pearl, Edward E"
"Pearl, Raymond, 1879-1940"
"Pearse, A. S. (Arthur Sperry), 1877-1956"
Pearson family
"Pearson, Drew, 1897-1969"
"Pearson, Karl G"
"Pearson, Lester B"
"Pearson, William J., 1860-"
"Peary, Robert E. (Robert Edwin), 1856-1920"
"Pease, Theodore Calvin, 1887-1948"
"Peattie, Donald Culross, 1898-1964"
"Peck, Fannie"
"Peck, Gregory, 1916-"
"Peck, William H"
"Peckham, Howard H. (Howard Henry), 1910-1995"
"Peckham, Howard Henry, 1910-"
"Peet, Max Minor"
"Pegler, Westbrook, 1894-1969"
"Peirsol, Thomas Reardon"
"Pelley, William Dudley, 1890-"
"Pelz, Donald Campbell, 1921-"
"Pelzer, Louis, 1879-1946"
"Pendill, James, 1812-1885"
"Penn, Sylvia"
"Penna, D. S. Ferreira"
"Penney, Harvey A., 1866-"
"Penney, William George, Sir, 1909-"
"Pennington, Fred A"
"Pennington, Jasper Green"
"Penrod, John"
"Pepin, George E"
"Pepper, Charles Melville, 1859-1930"
"Pepper, Claude Denson, 1900-"
"Pepper, Samuel Dewitt, 1877-1960"
"Peppler, Orrin H., 1899-"
"Perazza, Julio"
"Percy, Charles H., 1919-"
"Perez-Banuet, Alicia"
"Perigo, Donald J"
"Perino, Gregory"
"Perkins, Dexter, 1889-"
"Perkins, Frances, 1880-1965"
"Perkins, Frances, 1882-1965"
"Perkins, George Clement, 1839-1923"
"Perkins, John A. (John Alanson), 1914-"
"Perkins, Jonathon Ellsworth"
"Perkins, Myra"
"Perlman, Selig, 1888-"
"Perret, Christopher, 1935-1965"
"Perrone, Dominic Joseph"
"Perry, Bliss, 1860-1954"
"Perry, Clarence Arthur, 1872-"
"Perry, Emily S"
"Perry, George B., b. 1839"
"Perry, Henry Ernest, 1866-"
"Perry, Hicken"
"Perry, Matthew Calbraith, 1794-1858"
"Perry, Maude Elaine Caldwell, 1873-1963"
"Perry, Oliver Hazard, 1785-1819"
"Perry, Stuart Hoffman, 1874-1957"
"Pershing, John J. (John Joseph), 1860-1948"
"Person, Seymour Howe, 1879-1957"
"Pesotta, Rose, 1896-"
"Peters, Alice E. H"
"Peters, Richard G., b. 1832"
"Petersen, Donald E"
"Peterson, Elly, 1914-"
"Peterson, Enoch Ernest, 1891-"
"Peterson, Esther, 1906-"
"Peterson, Florence, 1894-"
"Peterson, John A"
"Peterson, Reuben, 1862-1942"
"Peterson, Shorey, 1897-1981"
"Petrie, Robert Methven, 1906-"
"Petrillo, James Caesar, 1892-"
"Pettee, William Henry, 1838-1904"
"Pettibone, Samuel"
"Pettigrew, Richard Franklin, 1848-1926"
"Pettit, Edison, 1889-"
"Peurala, Alice, 1928-"
"Phelan, Bessie"
"Phelps, Charles D. (Charles Dellen), 1859-1927"
"Phelps, Dudley Maynard"
"Phelps, Dudley Maynard, 1897-"
"Phelps, Myron H. (Myron Henry), 1856-1916"
"Phelps, William Henry, 1872-1939"
"Phelps, William Lyon, 1865-1943"
"Philbrick, Herbert A. (Herbert Arthur), 1915-1993"
"Philips, Delos, 1840-1887"
"Phillips, James Duncan, b. 1876"
"Phillips, Michael G"
"Phillips, Paul"
"Phillips, Philip, 1900-"
"Phillips, Sandra E"
"Phillips, Thomas Wharton, 1874-1956"
"Phillips, Ulrich Bonnell, 1877-1934"
"Phillips, Wendell, 1811-1884"
"Piaget, Jean, 1896-"
"Picard, Frank A., 1889-1963"
"Pickard, Josiah Little, 1824-1914"
"Pickens, F. W. (Francis Wilkinson), 1805-1869"
"Pickford, Mary, 1892-1979"
"Piconke, Joseph"
"Pierce, Austin Keith, 1918-"
"Pierce, Bessie Louise, 1888-1974"
"Pierce, Edward, 1930-"
"Pierce, John Davis, 1797-1882"
"Pierce, William J"
"Piercy, Marge"
"Pierpoint, Wilbur K., 1914-"
"Pierpont, John, 1785-1866"
"Pierpont, Wilbur K., 1914-"
"Piers, John J., 1892-1970"
"Pierson, Bowen Whiting"
"Pierson, Clara Dillingham"
"Pierson, H. Lynn"
"Pierson, Job, 1791-1860"
"Pierson, Job, 1824-1896"
"Piggins, Edward S., d. 1972"
"Pike, James A. (James Albert), 1913-1969"
"Pike, Kenneth Lee, 1912-"
"Pike, Zebulon Montgomery, 1779-1813"
"Pilcher, C. James"
"Pilcher, John Leonard, 1898-"
"Pillemer, Louis, 1908-1957"
"Pilling, Patricia L"
"Pillsbury, Parker, 1809-1898"
"Pillsbury, W. B. (Walter Bowers), 1872-1960"
"Pinchot, Amos Richards Eno, 1873-1944"
"Pinchot, Gifford, 1865-1946"
"Pincus, Celia"
"Pingree, Hazen S., 1840-1901"
"Pinkney, Edward"
"Pinkus, Hermann"
"Pinkus, Hilde Hensel"
"Piper, Horace"
"Piper, William J"
"Pirnie, Miles David, 1898-"
"Piston, Walter, 1894-1976"
"Pitcher, Zina, 1797-1872"
"Pitkin, Walter Boughton, 1878-1953"
"Pittman, Carter"
"Pittman, James E"
"Pittman, Key, 1872-1940"
"Pittman, Margaret, 1901-"
"Plamer, Louisa Fidelia"
"Plamondon, Genie"
"Plamondon, Pun"
"Plamondon, Pun--Trials, litigation, etc"
"Plank, Clarence Abram"
"Plant, Marcus L., 1911-"
"Platt, Orville Hitchcock, 1827-1905"
"Platt, Thomas Collier, 1833-1910"
"Platt, Zephaniah, 1797-1872"
"Plumer, James Marshall"
"Plunckett, Horace"
"Plunkett Green, Harry"
"Plunkett, Horace Curzon, Sir, 1854-1932"
"Podojil, Antoinette, 1911-"
"Pody, Leon, 1903-"
"Poe, O. M. (Orlando Metcalfe), 1832-1895"
"Pogo, Alexander, 1893-"
"Poindexter, Miles, 1868-1946"
"Poinier, Arthur Best"
"Poling, Daniel A. (Daniel Alfred), 1884-1968"
"Poling, Daniel Alfred, 1884-1968"
"Poling, H. A"
"Polk, Frank L. (Frank Lyon), 1871-1943"
"Polk, James K. (James Knox), 1795-1849"
"Polk, Ralph L"
"Polk, Sarah Childress, 1803-1891"
"Polk, Wardell"
"Pollack, Lana, 1942-"
"Pollack, Peter, 1939-2010"
"Pollard, William"
"Pollock, James Kerr, 1898-"
"Pomari, M"
"Pomeroy, Austin"
"Pomeroy, Francis Mills, 1840-1904"
"Pomeroy, Kenneth Brownridge, 1907-"
"Pomeroy, Susan Lincoln"
"Pond, Allen Bartlit"
"Pond, Allen Bartlit, 1858-1929"
"Pond, Ashley, 1827-1910"
"Pond, Elihu Bartlit, 1826-1898"
"Pond, Irving K. (Irving Kane), 1857-1939"
"Pond, Irving Kane, 1857-1939"
"Pond, Mary Barlow Allen, 1826-1915"
"Ponselle, Rosa, 1897-1981"
"Pontiac, Ottawa Chief, d. 1769"
"Poole, Reginald Lane, 1857-1939"
"Poole, S. Alicia"
"Pooley, Beverly J"
"Pop, Iggy, 1947-"
"Pope, Ira Greer, Mrs"
"Popenoe, Wilson, 1892-"
"Poplawksi, Adam, 1908-"
"Porter, David R"
"Porter, Katherine Anne, 1890-1980"
"Porter, Kenneth"
"Porter, Quincy, 1897-1966"
"Porter, Russell B"
"Porter, William Earl"
"Porter, William Townsend, 1862-1949"
"Porzondek, Anthony B"
"Post, Charles William, 1854-1914"
"Post, E. M"
"Post, Louis Freeland, 1849-1928"
"Post, Marjorie Merriweather"
"Posthumus, Dick, 1950-"
"Poteat, Edwin McNeill, 1892-1955"
"Potier, Pierre-Philippe, 1708-1781"
"Potofsky, Jacob, 1894-"
"Potter, Charles E. (Charles Edward), 1916-1979"
"Potter, John M"
"Potter, Louise, 1895-"
"Potter, Paul, 1939-"
"Potter, Theodore Edgar, 1832-1910"
"Potter, William W., 1869-1940"
"Potts, Randy"
"Potts, Robert L"
"Pound, Arthur, 1884-1966"
"Pound, Roscoe, 1870-1964"
"Powderly, Terence Vincent, 1849-1924"
"Powell, Adam Clayton, 1908-1972"
"Powell, John"
"Powell, Thomas Reed, 1880-1955"
"Power, Eugene B., 1905-"
"Power, Philip H"
"Power, Philip H. (Philip Harwick), 1938-"
"Power, Sadye"
"Power, Sarah Goddard, 1935-1987"
"Powers, John Ward"
"Powers, Perry Francis, 1857-1945"
"Powrie, Emerson F"
"Powrie, Gwendolyn Sutton"
"Prahalad, C. K"
"Prashad, Vijay"
"Prato, Gene"
"Pratt, Julius William, 1888-"
"Pray, Frank F"
"Pray, George R. (George Raymond), 1878-1967"
"Prejean, Helen"
"Prentiss, James Henry, 1872-1960"
"Prescott, A. B. (Albert Benjamin), 1832-1905"
"Prescott, George Allen, 1862-"
"Prescott, R. F"
"Pressey, Edward Pearson"
"Pressman, Lee"
"Pressman, Lee, 1906-"
"Preston, Ann J. Loomis, 1812-1892"
"Preston, Fowler S., 1844-1896"
"Preston, Harriet N"
"Preston, Wallace A., 1842-1924"
"Prewitt, Kenneth"
"Price, Derek J. de Solla (Derek John de Solla), 1922-1983"
"Price, Hereward Thimbleby, 1880-1964"
"Price, Hickman, 1911-"
"Price, Jacob M"
"Price, Lucien, 1883-1964"
"Price, Lyman B., b. 1811"
"Price, Margaret Bayne, 1912-1968"
"Price, Percival, 1901-"
"Price, William George"
"Prichette, Kintzing"
"Priest, J. Percy"
"Priestley, Herbert Ingram, 1875-1944"
"Primm, Clarence J., 1886-1957"
"Pritchard, Benjamin Dudley, 1835-1907"
"Pritchett, Henry Smith, 1857-1939"
"Procter, William Cooper, 1862-1934"
"Proctor, Alexander Phimister, 1862-1950"
"Proctor, Hazel, collector"
"Proffitt, Roy Franklin, 1918-"
"Prothrow-Stith, Deborah, 1954-"
"Proud, Paul"
"Proxmire, William"
"Prussion, Karl"
"Pryor, Millard H., 1901-"
"Pryor, Roger Atkinson, 1828-1919"
"Pugh, Mary Jo"
"Punch, Margaret R"
"Purcell, William Gray, 1880-1965"
"Purdy, Edward, 1914-"
"Purdy, George Flint, 1905-"
"Puri, J. N"
"Purnell, Benjamin Franklin, 1861-1927"
"Purnell, Mary Stollard, 1862?-1953"
"Pursell, Carl D"
"Putnam, Frederic Ward, 1839-1915"
"Putnam, George Haven, 1844-1930"
"Putnam, George Palmer, 1887-1950"
"Putnam, Herbert, 1861-1955"
"Putnam, Mark Edson, 1886-"
"Putnam, Ruth, 1856-1931"
"Putnam, William"
"Putnam, William Lowell, Mrs., 1862-1935"
"Pyke, Alfred Joseph, 1880-"
"Pyle, Ernie, 1900-1945"
"Pyle, Howard, 1906-"
"Pêtrequin, Odette"
"Qazwini, Hassan, 1964-"
"Quaal, Ward L"
"Quaife, Milo Milton, 1880-1959"
"Quarles, Donald Aubrey, 1894-1959"
"Quarry, James J"
"Quarton, Gardner C"
"Quay, Mathew Stanley, 1833-1904"
"Quezon, Manuel Luis, 1878-1944"
"Quillico, Walter H., 1916-"
"Quimby, Thomas H. E. (Thomas Howard Emerson), 1918-"
"Quinn, Robert P"
"Quirino, Elpidio, 1890-1956"
"Qāsim, Abd al-Karīm, 1914-1963"
"Raab, Alice Cary, 1873-1964"
"Raab, Arthur E"
"Raab, Doug"
"Raab, Ethel, 1882-1971"
"Raab, George, 1845-"
"Raab, Harriet"
"Raab, Irving T. (Irving Tomlinson), 1875-1969"
"Raab, Margaret Lincoln"
"Rabaut, Louis Charles, 1886-1961"
"Rabe, David"
"Rabin, Yitzhak, 1922-"
"Rabinovitz, Sam"
"Rachmaninoff, Sergei, 1873-1943"
"Rackham, Horace H., 1858-1933"
"Rackham, Mary A. Horton, d. 1947"
"Rademacher, Paul"
"Rademaker, John"
"Radford, Edwin P"
"Radock, Michael, 1917-"
"Radow, Carl"
"Radulovich, Milo, 1926-2007"
"Radulovich, Milo, 1927?-"
"Radzialowski, Thaddeus Casmir"
"Raff, George"
"Raff, Joachim, 1822-1882"
"Ragland-Sullivan, Ellie, 1941-"
"Ragone, David V., 1930-"
"Rahilly, Joseph B"
"Rahn, Sheldon Lloyd, 1918-"
"Raines, Richard Campbell, 1898-"
"Rains, Albert M. 1902-"
"Ralston, Jackson Harvey, 1857-1945"
"Ramos, Alfredo"
"Ramos, Joóao Farias"
"Ramsey, Leon, 1897-"
"Rand, Ayn"
"Rand, Benjamin, 1856-1934"
Randall family
"Randall, Caleb Dwinell, 1831-1903"
"Randall, Harrison M. (Harrison McAllister), 1870-"
"Randall, Harrison M. (Harrison McAllister), b. 1870"
"Randall, J. G. (James Garfield), 1881-1953"
"Randall, J. Herman"
"Randall, John Herman, 1871-1946"
"Randall, May Muma"
"Randall, Mercedes"
"Randall, Roswell"
"Randall, Sarah Geddes"
"Randall, William T"
"Randegger, Alberto, 1832-1911"
"Ranger, Roy"
"Rankin, John Elliott, 1882-1960"
"Rankin, Thomas Ernest, 1872-1953"
"Rannells, B. U"
"Ransdell, Joseph Eugene, 1858-1954"
"Ransom, Epaphroditus, 1797-1859"
"Ransom, Eugene A"
"Ransom, James W"
"Ransom, Jeanne Bailey, 1920-"
"Ranville, Michael, 1943-"
"Ranville, Michael, 1943- To strike at a king"
"Rapaport, David"
"Rappaport, Roy A., 1926-1997"
"Rasch, Charles"
"Rash, Ralph"
"Rasmussen, Martin"
"Rasmussen, Roy Paul, 1893-1956"
"Rasmussen, Susan"
"Ratcliff, William D"
"Rath, Christian, 1832-1920"
"Rathmer, Felix Martin, d. 1959"
"Ratigan, William"
"Raulet, Nais"
"Rauschenbusch, Walter, 1861-1918"
"Ravitz, Allyn"
"Ravitz, Mel, 1924-"
"Ray, P. Orman (Perley Orman), b. 1875"
"Rayburn, Robert H., 1866-"
"Rayburn, Sam, 1882-1961"
"Raymond, J. Everett"
"Raymond, Philip"
"Re, Vittorio"
"Rea, Paul Marshall, 1878-"
"Rea, Samuel, 1855-1929"
"Read, Carrie"
"Read, E. Mabel"
"Read, Thomas, 1881-"
"Reagan, Ronald"
"Rebec, George, 1868-1944"
"Rector, Gail Wesley, 1918-"
"Redding, Otis, 1941-1967"
"Redfield, Alexander Heman, 1805-1869"
"Redman, Edward H"
"Redstone, Louis G"
"Reece, B. Carroll (Brazilla Carroll), 1889-1961"
"Reece, Carroll, 1889-"
"Reed, Beth Glover"
"Reed, Clyde Martin, 1871-1949"
"Reed, Frank Fremont, 1857-1926"
"Reed, John Oren, 1856-1916"
"Reed, John Wesley, 1918-"
"Reed, Marshall Russell, 1891-"
"Reed, Stanley F"
"Reed, Thomas Harrison, b. 1881"
"Reed, Walter, 1851-1902"
"Rees, Paul S. (Paul Stromberg)"
"Rees, Seth Cook"
"Reeve, Christopher, 1952-2004"
"Reeves, Alfred L., 1873-"
"Reeves, Jesse Siddall, 1872-"
"Reichart, Walter Albert, 1903-1999"
"Reichert, Christine John"
"Reichert, Rudolph Edward, 1887-1965"
"Reichle, Lewis"
"Reid, Clarence A"
"Reid, Doris"
"Reid, Gilbert, 1857-1927"
"Reid, Lloyd B"
"Reid, Neil E., 1871-"
"Reid, Whitelaw, 1837-1912"
"Reighard, Jacob Ellsworth, 1861-"
"Reighard, Jacob Ellsworth, 1861-1942"
"Reilly, Lawrence"
"Reimann, Irving G"
"Reimann, Lewis Charles"
"Reinecke, Carl, 1824-1910"
"Reisler, Joseph T"
"Remington, Richard D"
"Remley, Frederick"
"Remsen, Ira, 1846-1927"
"Rentschler, Edwin D., 1900-1971"
"Rentschler, J. Fred, 1869-1940"
"Repucci, Shirine M"
"Respighi, Ottorino, 1879-1936"
"Reule, Frieda Illi"
"Reunes, Aris"
"Reuther, May Wolf, d. 1970"
"Reuther, Roy L., d. 1968"
"Reuther, Victor G. (Victor George), 1912-"
"Reuther, Walter, 1907-1970"
"Revelli, William D. (William Donald), 1902-"
"Revelli, William D. (William Donald), 1902-1994"
"Reyes, Linda"
"Reynolds, Barbara"
"Reynolds, Elon G., 1841-"
"Reynolds, Fred"
"Reynolds, Harrison G"
"Reynolds, Paul Revere, 1864-1944"
"Reynolds, Quentin James, 1902-1965"
"Reynolds, Robert Rice, 1884-1963"
"Rhee, Syngman, 1875-1965"
"Rhodes, Frank Harold Trevor"
"Ribicoff, Abraham, 1910-"
"Rice, Allen B"
"Rice, Elmer, 1892-1967"
"Rice, Grantland, 1880-1954"
"Rice, Paul North, 1888-1967"
"Rice, Warner Grenelle, 1899-"
"Rich, Arthur, 1937-1990"
"Rich, John Treadway, 1841-1926"
"Richard, Gabriel, 1767-1832"
"Richards, Ann, 1933-"
"Richards, James Prioleau, 1894-"
"Richards, Russell"
"Richards, Theodore W. (Theodore William), 1868-1928"
"Richardson, Ernest Cushing, 1860-1939"
"Richardson, George F., 1850-1923"
"Richardson, Herbert H., 1898-"
"Richardson, Hilary Goode, 1874-"
"Richey, Lawrence, 1885-1959"
"Richmond, William A., 1808-1870"
"Rickenbacker, Eddie, 1890-1973"
"Ricketts, Howard Taylor, 1871-1910"
"Rickey, Branch, 1881-1965"
"Rickover, Hyman George"
"Rider, Fremont, 1885-1962"
"Ridgely, Benjamin H., 1861-1908"
"Riegel, John W"
"Riegel, Klaus F"
"Riegel, Ruth"
"Riegle, Donald W., 1938-"
"Rifkin, Jeremy"
"Riggs, Donald E"
"Riggs, Henry Earle, 1865-1949"
"Riggs, Henry Earle, b. 1865"
"Rightmire, George Washington, 1868-"
"Riley, James Whitcomb, 1849-1916"
"Riley, Thomas"
"Rindge, Warren"
"Rinehart, Mary Roberts, 1876-1958"
"Ringer, William Raimond, 1898-1973"
"Ringo, Ernest Richard"
"Ringwald, John F., 1904-"
"Rinsey, David, b. 1838"
"Rinsey, George, 1881-"
"Rinsey, Ina Alexander"
"Riordan, C.E"
"Ripley, William Zebina, 1867-1941"
"Rippy, J. Fred (James Fred), 1892-1977"
"Ritchie, David George, 1853-1903"
"Rivera, R"
"Rivers, Larry, 1925-2002"
"Rivers, Lynn N"
"Rivers, William Cannon, 1866-1943"
"Roach, Thomas A., 1929-"
"Robbins, Frank Egleston, 1884-"
"Robbins, Jerome John, 1841-1921"
"Roberts, Carmen A"
"Roberts, Dennis Joseph, 1903-"
"Roberts, Edmund, 1784-1836"
"Roberts, Geraldine, 1924-"
"Roberts, Helen Martindale"
"Roberts, Joseph L., 1897-1977"
"Roberts, Kenneth Lewis, 1885-1957"
"Roberts, Lillian, 1928-"
"Roberts, Owen J. (Owen Josephus), 1875-1955"
"Roberts, Roy"
"Roberts, Thomas Brockway"
"Robertson, Charles"
"Robertson, James Alexander, 1873-1939"
"Robertson, James H. (James Holman), 1915-"
"Robertson, Jno. (John), 1814-1887"
"Robertson, Pat"
"Robertson, Wishart McLea, 1891-"
"Robeson, Kathryn A"
"Robins, F. George"
"Robinson, C. J"
"Robinson, Corinne Roosevelt, 1861-1933"
"Robinson, David Moore, 1880-1958"
"Robinson, Dolly Lowther"
"Robinson, Edgar Eugene, 1887-"
"Robinson, Hubert Nelson, 1909-"
"Robinson, James Harvey, 1863-1936"
"Robinson, Jay L., 1932-"
"Robinson, John Beverley, 1853-"
"Robinson, Remus, 1904-1970"
"Robinson, William Dodd, 1911-1988"
"Roby, Douglas F. (Douglas Fergusson), 1898-1992"
"Rockefeller, David, 1915-"
"Rockefeller, John D. (John Davison), 1839-1937"
"Rockefeller, John D. (John Davison), 1874-1960"
"Rockefeller, Laurance Spelman"
"Rockefeller, Nelson A. (Nelson Aldrich), 1908-1979"
"Rockefeller, Winthrop, 1912-1973"
"Rockey, Keller E"
"Rockwell, George Lincoln, 1918-1967"
"Rockwell, Norman, 1894-1978"
"Rodeheaver, Homer A. (Homer Alvan), 1880-1955"
"Rodgers, Curtis E"
"Rodgers, George Washington, 1787-1832"
"Rodgers, Patricia"
"Roe, Jerry D., 1936-"
"Roethke, Theodore, 1908-1963"
"Rogers, Abigail C., 1818-1869"
"Rogers, Edward Sidney, 1875-1949"
"Rogers, Felix J., 1947-"
"Rogers, Ginger, 1911-"
"Rogers, Henry Wade, 1853-1926"
"Rogers, James Speed, 1892-"
"Rogers, Lindbergh"
"Rogers, Randolph, 1825-1892"
"Rogers, Roy, 1911-"
"Rogers, Vivian"
"Rogers, Will, 1911-"
"Rogers, William Pierce, 1913-"
"Rogge, Oetje John, 1903-"
"Rohan, Arthur E., 1891-"
"Roijen, J. H. van (Jan Herman)"
"Roland, James A., 1911-"
"Rolfe, John Carew, 1859-1943"
"Rolland, Ivan"
"Rolvaag, Karl F., 1913-"
"Romanes, George John, 1848-1894"
"Romani, John Henry, 1925-"
"Romer, Alfred Sherwood, 1894-1973"
"Romer, Harry, 1895-1953"
"Rominger, Carl Ludwig, 1820-1907"
"Rominger, Frederika, 1826-1914"
"Rominger, Julia"
"Rominger, Louis, 1859-1936"
"Romney, George W., 1907-"
"Romney, George W., 1907-1995"
"Romney, Lenore LaFount"
"Romney, Mitt"
"Romulo, Carlos P. (Carlos Peña), 1899-1985"
"Romulo, Carlos P. (Carlos Peóna), 1899-1985"
"Rood, John R. (John Romain), b. 1868"
"Roosevelt, Amy"
"Roosevelt, Anna Curtenius"
"Roosevelt, Dorothy Kemp, 1899?-1985"
"Roosevelt, Eleanor, 1884-1962"
"Roosevelt, Elliot, 1910-"
"Roosevelt, Elliott, 1910-"
"Roosevelt, Franklin D. (Franklin Delano), 1882-1945"
"Roosevelt, Franklin D. (Franklin Delano), 1914-1988"
"Roosevelt, G. Hall"
"Roosevelt, James, 1907-"
"Roosevelt, Janet"
"Roosevelt, Kermit, 1889-1943"
"Roosevelt, Nicholas, 1893-"
"Roosevelt, Robert Barnwell, 1829-1906"
"Roosevelt, Theodore, 1858-1919"
"Roosevelt, Theodore, 1887-1944"
"Root, Elihu, 1845-1937"
"Root, William, 1867-1932"
"Roper, Daniel C"
"Roper, Richard F"
"Rose, David Kenneth, 1902-1963"
"Rose, David S., b. 1856"
"Rose, Henry Martin, b. 1858"
"Rose, John Holland, 1855-1942"
"Rose, Preston Benjamin, 1834-1912"
"Rosenberg, Anna M., 1902-"
"Rosenberg, Ethel, 1915-1953"
"Rosenberg, Julius, 1918-1953"
"Rosencrans, William Starke, 1819-1898"
"Rosenman, Samuel I. (Samuel Irving), 1896-1973"
"Rosenthal, Lessing, 1868-1949"
"Rosenwald, Julius, 1862-1932"
"Rosinger, Lawrence K. (Lawrence Kaelter), 1915-"
"Ross, Arthur M., 1916-1970"
"Ross, C. Howard, 1890-1980"
"Ross, Denman Waldo, 1853-1935"
"Ross, Douglas, 1942-"
"Ross, Edward Alsworth, 1866-1951"
"Ross, Harry, 1900-"
"Ross, Linda"
"Ross, Robert"
"Ross, Ronald, c Sir, 1857-1932"
"Ross, Solomon David"
"Rossen, Sanford, 1927-1984"
"Rossini, Frederick D. (Frederick Dominic), 1899-"
